コード,銘柄名,業種,市場,株式種類,新NISA成長投資枠
ASMG,レバレッジシェアーズ　２倍ロング　ＡＳＭＬ　デイリー　ＥＴＦ,その他,NASDAQ,ETF,
ASML,ＡＳＭＬ　ホールディング,機械,NASDAQ,ADR,〇
ASND,アセンディス　ファーマ,医薬品,NASDAQ,ADR,〇
ASO,アカデミー　スポーツ　アンド　アウトドア―ズ,小売業,NASDAQ,普通株式,〇
ASPI,ＡＳＰ　アイソトープス,化学,NASDAQ,普通株式,〇
ASPN,アスペン　エアロジェルズ,卸売業,NYSE,普通株式,〇
ASPS,アルティソース　ポートフォリオ　ソリューションズ,サービス業,NASDAQ,普通株式,〇
ASR,グルポ　アエロポルタリオ　デル　スレステ　ＡＤＲ,倉庫・運輸関連業,NYSE,ADR,〇
ASRT,アサーティオ　ホールディングス,医薬品,NASDAQ,普通株式,〇
ASRV,アメリサーブ　ファイナンシャル,銀行業,NASDAQ,普通株式,〇
ASST,ストライブ,医薬品,NASDAQ,普通株式,〇
ASTC,アストロテック,精密機器,NASDAQ,普通株式,〇
ASTE,アステック　インダストリーズ,機械,NASDAQ,普通株式,〇
ASTH,アストラナ　ヘルス,サービス業,NASDAQ,普通株式,〇
ASTI,アセント　ソーラー　テクノロジーズ,精密機器,NASDAQ,普通株式,〇
ASTL,アルゴマ　スチール　グループ,鉄鋼,NASDAQ,普通株式,〇
ASTS,ＡＳＴ　スペースモバイル,情報・通信業,NASDAQ,普通株式,〇
ASUR,アシュア　ソフトウェア,サービス業,NASDAQ,普通株式,〇
ASX,日月光投資控股　（ＡＳＥテクノロジーホールディング）　ＡＤＲ,精密機器,NYSE,ADR,〇
ASYS,アムテック　システムズ,機械,NASDAQ,普通株式,〇
ATAI,アタイ　ベックリー,医薬品,NASDAQ,普通株式,〇
ATAT,アトゥール　ライフスタイル　ホールディングス　ＡＤＲ,サービス業,NASDAQ,ADR,〇
ATCL,ＲＥＸ　オートコーラブル　インカムＥＴＦ,その他,NYSE_ARCA,ETF,
ATEC,アルファテック　ホールディングス,精密機器,NASDAQ,普通株式,〇
ATEN,Ａ１０ネットワークス,精密機器,NYSE,普通株式,〇
ATER,アテリアン,電気機器,NASDAQ,普通株式,〇
ATEX,アンテリックス,情報・通信業,NASDAQ,普通株式,〇
ATHE,アルテリティ　セラピューティクス　ＡＤＲ,医薬品,NASDAQ,ADR,〇
ATHM,汽車之家（オートホーム）　ＡＤＲ,サービス業,NYSE,ADR,〇
ATHR,エーテル　ホールディングス,サービス業,NASDAQ,普通株式,〇
ATI,アリゲニー　テクノロジーズ,鉄鋼,NYSE,普通株式,〇
ATKR,アトコア,精密機器,NYSE,普通株式,〇
ATLC,アトランティクス　ホールディングス,その他金融業,NASDAQ,普通株式,〇
ATLO,エイムズ　ナショナル,銀行業,NASDAQ,普通株式,〇
ATLX,アトラス　リチウム,鉱業,NASDAQ,普通株式,〇
ATMU,アトマス　フィルトレーション　テクノロジーズ,輸送用機器,NYSE,普通株式,〇
ATNI,ＡＴＮ　インターナショナル,情報・通信業,NASDAQ,普通株式,〇
ATNM,アクチニウム　ファーマシューティカルズ,医薬品,AMEX,普通株式,〇
ATO,アトモス　エナジー,電気・ガス業,NYSE,普通株式,〇
ATOM,アトメラ,精密機器,NASDAQ,普通株式,〇
ATOS,アトッサ　セラピューティクス,医薬品,NASDAQ,普通株式,〇
ATPC,アガぺ　ＡＴＰ,サービス業,NASDAQ,普通株式,〇
ATR,アプターグループ,石油・石炭製品,NYSE,普通株式,〇
ATRA,アタラ　バイオセラピューティクス,医薬品,NASDAQ,普通株式,〇
ATRC,アトリキュア,精密機器,NASDAQ,普通株式,〇
ATRO,アストロニクス,輸送用機器,NASDAQ,普通株式,〇
ATYR,アティール　ファーマ,医薬品,NASDAQ,普通株式,〇
AU,アングロゴールド　アシャンティ,鉱業,NYSE,ADR,〇
AUB,アトランティック　ユニオン　バンクシェアーズ,銀行業,NYSE,普通株式,〇
AUBN,オーバーン　ナショナル　バンコーポレーション,銀行業,NASDAQ,普通株式,〇
AUDC,オーディオコーズ,精密機器,NASDAQ,普通株式,〇
AUGO,オーラ・ミネラルズ,鉱業,NASDAQ,普通株式,〇
AUID,オースＩＤ,サービス業,NASDAQ,普通株式,〇
AUPH,オーリニア　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
AUR,オーロラ　イノベーション,サービス業,NASDAQ,普通株式,〇
AURA,オーラ　バイオサイエンシズ,医薬品,NASDAQ,普通株式,〇
AUST,オースティン　ゴールド,鉱業,AMEX,普通株式,〇
AUTL,オートルス　セラピューティクス　ＡＤＲ,医薬品,NASDAQ,ADR,〇
AUUD,オーディア,サービス業,NASDAQ,普通株式,〇
AVA,アビスタ,電気・ガス業,NYSE,普通株式,〇
AVAH,アヴィーナ　ヘルスケア　ホールディングス,サービス業,NASDAQ,普通株式,〇
AVAV,エアロバイロメント,輸送用機器,NASDAQ,普通株式,〇
AVBC,アヴィディア・バンコープ,銀行業,NYSE,普通株式,〇
AVBP,アライヴェント　バイオファーマ,医薬品,NASDAQ,普通株式,〇
AVD,アメリカン　ヴァンガード,化学,NYSE,普通株式,〇
AVDE,アバンティス・インターナショナル・エクイティ・ＥＴＦ,その他,NYSE_ARCA,ETF,〇
AVEM,アバンティス・エマージング・マーケッツ・エクイティ・ＥＴＦ,その他,NYSE_ARCA,ETF,〇
AVGG,レバレッジシェアーズ　２倍ロング　ＡＶＧＯ　デイリー　ＥＴＦ,その他,NASDAQ,ETF,
AVGO,ブロードコム,精密機器,NASDAQ,普通株式,〇
AVGU,グラナイトシェアーズ２倍ロング　ＡＶＧＯ　デイリーＥＴＦ,その他,NASDAQ,ETF,
AVIR,アテア　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
AVL,Ｄｉｒｅｘｉｏｎ　デイリー　ＡＶＧＯ　ブル２倍　ＥＴＦ,その他,NASDAQ,ETF,
AVNS,アヴァノス　メディカル,精密機器,NYSE,普通株式,〇
AVNT,アビエント,化学,NYSE,普通株式,〇
AVNW,アビアット　ネットワークス,精密機器,NASDAQ,普通株式,〇
AVO,ミッション　プロデュース,水産・農林業,NASDAQ,普通株式,〇
AVPT,アブポイント,サービス業,NASDAQ,普通株式,〇
AVR,アンテリス　テクノロジーズ　グローバル,精密機器,NASDAQ,普通株式,〇
AVS,Ｄｉｒｅｘｉｏｎ　デイリー　ＡＶＧＯ　ベア１倍　ＥＴＦ,その他,NASDAQ,ETF,
AVT,アヴネット,卸売業,NASDAQ,普通株式,〇
AVTR,アヴァントー,精密機器,NYSE,普通株式,〇
AVTX,アバロー　セラピューティクス,医薬品,NASDAQ,普通株式,〇
AVUS,アバンティス・ＵＳ・エクイティ・ＥＴＦ,その他,NYSE_ARCA,ETF,〇
AVUV,アバンティス・ＵＳ・スモール・キャップ・バリュー・ＥＴＦ,その他,NYSE_ARCA,ETF,〇
AVX,ＡＶＡＸ　ワン　テクノロジー,金属製品,NASDAQ,普通株式,〇
AVXL,アナベックス　ライフ　サイエンシズ,医薬品,NASDAQ,普通株式,〇
AVY,エイブリー　デニソン,パルプ・紙,NYSE,普通株式,〇
AWI,アームストロング　ワールド　インダストリーズ,石油・石炭製品,NYSE,普通株式,〇
AWK,アメリカン　ウォーター　ワークス,電気・ガス業,NYSE,普通株式,〇
AWR,アメリカン　ステイツ　ウォーター,電気・ガス業,NYSE,普通株式,〇
AWRE,アウェア,サービス業,NASDAQ,普通株式,〇
AWX,アバロン　ホールディングス,電気・ガス業,AMEX,普通株式,〇
AX,アクソス　ファイナンシャル,銀行業,NYSE,普通株式,〇
AXG,ソロウィン　ホールディングス,証券、商品先物取引業,NASDAQ,普通株式,〇
AXGN,アクソジェン,精密機器,NASDAQ,普通株式,〇
AXIA,ＡＸＩＡ　Ｅｎｅｒｇｉａ,電気・ガス業,NYSE,ADR,〇
AXIL,アクシル　ブランズ,化学,AMEX,普通株式,〇
AXON,アクソン　エンタープライズ,機械,NASDAQ,普通株式,〇
AXP,アメリカン　エキスプレス,その他金融業,NYSE,普通株式,〇
AXR,アムレップ,不動産業,NYSE,普通株式,〇
AXS,アクシス　キャピタル　ホールディングス,保険業,NYSE,普通株式,〇
AXSM,アクサム　セラピューティクス,医薬品,NASDAQ,普通株式,〇
AXTA,アクサルタ　コーティング　システムズ,化学,NYSE,普通株式,〇
AXTI,ＡＸＴ,精密機器,NASDAQ,普通株式,〇
AYI,アキュイティー,電気機器,NYSE,普通株式,〇
AYTU,アイトゥ　バイオファーマ,医薬品,NASDAQ,普通株式,〇
AZN,アストラゼネカＰＬＣ,医薬品,NYSE,ADR,〇
AZO,オートゾーン,小売業,NYSE,普通株式,〇
AZTA,アゼンタ,機械,NASDAQ,普通株式,〇
AZYY,グラナイトシェアーズイールドブーストアマゾンＥＴＦ,その他,NASDAQ,ETF,
AZZ,ＡＺＺ,電気機器,NYSE,普通株式,〇
B,バリック　マイニング　コーポレーション,鉱業,NYSE,普通株式,〇
BA,ボーイング,輸送用機器,NYSE,普通株式,〇
BABA,阿里巴巴集団（アリババ　グループ）ＡＤＲ,サービス業,NYSE,ADR,〇
BABX,グラナイトシェアーズ　２倍ロング　ＢＡＢＡ　デイリー　ＥＴＦ,その他,NASDAQ,ETF,
BAC,バンク　オブ　アメリカ,銀行業,NYSE,普通株式,〇
BAER,ブリジャー　エアロスペース　グループ　ホールディングス,サービス業,NASDAQ,普通株式,〇
BAFN,ベイファースト　フィナンシャル,銀行業,NASDAQ,普通株式,〇
BAH,ブーズ　アレン　ハミルトン　ホールディング,サービス業,NYSE,普通株式,〇
BAIG,レバレッジシェアーズ　２倍ロング　ＢＢＡＩ　デイリー　ＥＴＦ,その他,NASDAQ,ETF,
BAK,ブラスケム　ＡＤＲ,化学,NYSE,ADR,〇
BALL,ボール,金属製品,NYSE,普通株式,〇
BALY,バリーズ,サービス業,NYSE,普通株式,〇
BAM,ブルックフィールド　アセット　マネジメント,証券、商品先物取引業,NYSE,普通株式,〇
BANC,バンク　オブ　カリフォルニア,銀行業,NYSE,普通株式,〇
BAND,バンドウィズ,サービス業,NASDAQ,普通株式,〇
BANF,バンクファースト,銀行業,NASDAQ,普通株式,〇
BANL,ＣＢＬ　インターナショナル,卸売業,NASDAQ,普通株式,〇
BANR,バナー,銀行業,NASDAQ,普通株式,〇
BAR,グラナイトシェアーズ　ゴールド　トラスト,その他,NYSE_ARCA,ETF,〇
BARK,バーク,小売業,NYSE,普通株式,〇
BATRA,アトランタ　ブレーブス　ホールディングス　Ａ,サービス業,NASDAQ,普通株式,〇
BATRK,アトランタ　ブレーブス　ホールディングス　Ｃ,サービス業,NASDAQ,普通株式,〇
BAX,バクスター　インターナショナル,精密機器,NYSE,普通株式,〇
BB,ブラックベリー,サービス業,NYSE,普通株式,〇
BBAI,ビッグベア．ａｉ　ホールディングス,サービス業,NYSE,普通株式,〇
BBAR,バンコ　ＢＢＶＡ　アルジェンティーナ　ＡＤＲ,銀行業,NYSE,ADR,〇
BBBY,ベッド・バス　アンド　ビヨンド,小売業,NYSE,普通株式,〇
BBCP,コンクリート　ポンピング　ホールディングス,建設業,NASDAQ,普通株式,〇
BBD,バンコ・ブラデスコ（優先株相当）ＡＤＲ,銀行業,NYSE,ADR,〇
BBDO,バンコ　ブラデスコ　ＡＤＲ,銀行業,NYSE,ADR,〇
BBGI,ビーズリー　ブロードキャスト　グループ,情報・通信業,NASDAQ,普通株式,〇
BBH,ヴァンエック　バイオテク　ＥＴＦ,その他,NASDAQ,ETF,〇
BBHY,ＪＰモルガン　ベータビルダーズ　米国ハイイールドＥＴＦ,その他,CBOE,ETF,
BBIO,ブリッジバイオ　ファーマ,医薬品,NASDAQ,普通株式,〇
BBJP,ＪＰモルガン　ベータビルダーズ　日本　ＥＴＦ,その他,CBOE,ETF,〇
BBLG,ボーン　バイオロジックス,精密機器,NASDAQ,普通株式,〇
BBNX,ベータ　バイオニクス,精密機器,NASDAQ,普通株式,〇
BBRE,ＪＰモルガン　ベータビルダーズ　ＭＳＣＩ米国リートＥＴＦ,その他,CBOE,ETF,〇
BBSI,バレット　ビジネス　サービシズ,サービス業,NASDAQ,普通株式,〇
BBT,ビーコン　ファイナンシャル,銀行業,NYSE,普通株式,〇
BBUS,ＪＰモルガン　ベータビルダーズ　米国株　ＥＴＦ,その他,CBOE,ETF,〇
BBW,ビルド－ア－ベア　ワークショップ,小売業,NYSE,普通株式,〇
BBWI,バス　＆　ボディ　ワークス,小売業,NYSE,普通株式,〇
BBY,ベスト　バイ,小売業,NYSE,普通株式,〇
BBYY,グラナイトシェアーズ　イールドブースト　ＢＡＢＡ　ＥＴＦ,その他,NASDAQ,ETF,
BC,ブランズウィック,機械,NYSE,普通株式,〇
BCAB,バイオアトラ,医薬品,NASDAQ,普通株式,〇
BCAL,カリフォルニア　バンコープ,銀行業,NASDAQ,普通株式,〇
BCAX,バイカラ　セラピューティクス,医薬品,NASDAQ,普通株式,〇
BCBP,ＢＣＢ　バンコープ,銀行業,NASDAQ,普通株式,〇
BCC,ボイジー　カスケード,卸売業,NYSE,普通株式,〇
BCDA,バイオカルディア,医薬品,NASDAQ,普通株式,〇
BCE,ビーシーイー,情報・通信業,NYSE,普通株式,〇
BCG,ビナー　キャピタル　グループ,その他金融業,NASDAQ,普通株式,〇
BCH,バンコ　デ　チリ　ＡＤＲ,銀行業,NYSE,ADR,〇
BCML,ベイコム,銀行業,NASDAQ,普通株式,〇
BCO,ブリンクス　カンパニー,倉庫・運輸関連業,NYSE,普通株式,〇
BCPC,バルケム,化学,NASDAQ,普通株式,〇
BCRX,バイオクリスト　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
BCS,バークレイズ　ＡＤＲ,銀行業,NYSE,ADR,〇
BCTX,ブリアセル　セラピューティクス,医薬品,NASDAQ,普通株式,〇
BCYC,バイシクル　セラピューティクス　ＡＤＲ,医薬品,NASDAQ,ADR,〇
BDC,ベルデン,非鉄金属,NYSE,普通株式,〇
BDL,フラニガンズ　エンタープライジズ,小売業,AMEX,普通株式,〇
BDRX,バイオデクサ　ファーマシューティカルズ　ＡＤＲ,医薬品,NASDAQ,ADR,〇
BDSX,バイオデシックス,サービス業,NASDAQ,普通株式,〇
BDTX,ブラック　ダイアモンド　セラピューティクス,医薬品,NASDAQ,普通株式,〇
BDX,ベクトン　ディッキンソン,精密機器,NYSE,普通株式,〇
BE,ブルーム　エナジー　Ａ,電気機器,NYSE,普通株式,〇
BEAM,ビーム　セラピューティクス,医薬品,NASDAQ,普通株式,〇
BEAT,ハートビーム,精密機器,NASDAQ,普通株式,〇
BEEM,ビーム　グローバル,精密機器,NASDAQ,普通株式,〇
BEEP,モバイル　インフラストラクチャー,不動産業,NASDAQ,普通株式,〇
BEG,レバレッジシェアーズ　２倍　ロング　ＢＥ　デイリー　ＥＴＦ,その他,NASDAQ,ETF,
BEKE,貝殻（ＫＥ　ホールディングス）　ＡＤＲ,不動産業,NYSE,ADR,〇
BELFA,ベル　フューズ　Ａ,精密機器,NASDAQ,普通株式,〇
BELFB,ベル　フューズ　Ｂ,精密機器,NASDAQ,普通株式,〇
BEN,フランクリン　リソーシズ,証券、商品先物取引業,NYSE,普通株式,〇
BENF,ベネフィシェント,その他金融業,NASDAQ,普通株式,〇
BEPC,ブルックフィールド　リニューアブル,電気・ガス業,NYSE,普通株式,〇
BETA,ベータテクノロジーズ,輸送用機器,NYSE,普通株式,〇
BETR,ベター　ホーム　＆　ファイナンス　ホールディング,その他金融業,NASDAQ,普通株式,〇
BF.A,ブラウン－フォーマン　Ａ,食料品,NYSE,普通株式,〇
BF.B,ブラウン－フォーマン　Ｂ,食料品,NYSE,普通株式,〇
BFAM,ブライト　ホライズンズ　ファミリー　ソリューションズ,サービス業,NYSE,普通株式,〇
BFC,バンク　ファースト,銀行業,NASDAQ,普通株式,〇
BFH,ブレッド　フィナンシャル　ホールディングス,サービス業,NYSE,普通株式,〇
BFLY,バタフライ　ネットワーク,精密機器,NYSE,普通株式,〇
BFRG,ブルフロッグ　ＡＩ　ホールディングス,医薬品,NASDAQ,普通株式,〇
BFRI,バイオフロンテラ,医薬品,NASDAQ,普通株式,〇
BFST,ビジネス　ファースト　バンクシェアーズ,銀行業,NASDAQ,普通株式,〇
BG,ブンゲ　グローバル,食料品,NYSE,普通株式,〇
BGC,ＢＧＣ　グループ,証券、商品先物取引業,NASDAQ,普通株式,〇
